song_id,song_name,song_duration,song_url,song_popularity,song_added
1xznGGDReH1oQq0xzbwXa3,One Dance,173986,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,0,2017-05-17 06:02:52+00:00
7mldq42yDuxiUNn08nvzHO,Body Like A Back Road,165386,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO,77,2017-05-17 06:02:52+00:00
0FuTx2s3YH1ppmtiM6l0zI,September Song,220290,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI,0,2017-05-17 06:02:52+00:00
209gZgcfLq2aUuu51vOWBl,Hey DJ,205520,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl,0,2017-05-17 06:02:52+00:00
5ndfVSDyPq90jaIUhNPeby,Chained To The Rhythm,237915,https://open.spotify.com/track/5ndfVSDyPq90jaIUhNPeby,0,2017-05-17 06:02:52+00:00
343YBumqHu19cGoGARUTsd,Fake Love,210937,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,76,2017-05-17 06:02:52+00:00
0wfbD5rAksdXUzRvMfM3x5,The One,177573,https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5,61,2017-05-17 06:02:52+00:00
0SGkqnVQo9KPytSri1H6cF,Bounce Back,222360,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF,72,2017-05-17 06:02:52+00:00
6p8NuHm8uCGnn2Dtbtf7zE,Slippery (feat. Gucci Mane),304041,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE,4,2017-05-17 06:02:52+00:00
4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,205946,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,1,2017-05-17 06:02:52+00:00
3QwBODjSEzelZyVjxPOHdq,Otra vez (feat. J Balvin),209453,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,80,2017-05-17 06:02:52+00:00
5Ua3GXyHwiSfpNTMjq6m2z,Touch,213306,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z,0,2017-05-17 06:02:52+00:00
7floNISpH8VF4z4459Qo18,Look At Me!,126345,https://open.spotify.com/track/7floNISpH8VF4z4459Qo18,84,2017-05-17 06:02:52+00:00
6CUBgX8bXC5YQCkdgRHqyg,do re mi,212027,https://open.spotify.com/track/6CUBgX8bXC5YQCkdgRHqyg,0,2017-05-17 06:02:52+00:00
4okba5wu9mMLXx79DXLKi3,La Rompe Corazones,204520,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3,0,2017-05-17 06:02:52+00:00
4Q5yMlwAfAoitqg4r9oZHN,Quit (feat. Ariana Grande),258188,https://open.spotify.com/track/4Q5yMlwAfAoitqg4r9oZHN,0,2017-05-17 06:02:52+00:00
6XOYVSmNDjKUNMXooU4s4z,No Vacancy,223189,https://open.spotify.com/track/6XOYVSmNDjKUNMXooU4s4z,0,2017-05-17 06:02:52+00:00
1qOLh0tI7trd1zdDKxYZTe,Starving,181880,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,0,2017-05-17 06:02:52+00:00
6OuV4vfyb8v3vGGGksqyKf,Weak,202193,https://open.spotify.com/track/6OuV4vfyb8v3vGGGksqyKf,0,2017-05-17 06:02:52+00:00
3kxfsdsCpFgN412fpnW85Y,Redbone,326933,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y,1,2017-05-17 06:02:52+00:00
1WC5UN1U79gJlxGLYDGIO7,Green Light,234661,https://open.spotify.com/track/1WC5UN1U79gJlxGLYDGIO7,0,2017-05-17 06:02:52+00:00
6b8Be6ljOzmkOmFslEb23P,24K Magic,225983,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,83,2017-05-17 06:02:52+00:00
0Szp49tpFasIjX04Mcsydp,Tu Foto,193117,https://open.spotify.com/track/0Szp49tpFasIjX04Mcsydp,0,2017-05-17 06:02:52+00:00
7KOlJ92bu51cltsD9KU5I7,T-Shirt,242407,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7,2,2017-05-17 06:02:52+00:00
5q2JbCNi4FcnglgPfxcV65,Sola (Remix),307910,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65,80,2017-05-17 06:02:52+00:00
3QWjljChcOMkRDYSzF33Qr,Whippin (feat. Felix Snow),160596,https://open.spotify.com/track/3QWjljChcOMkRDYSzF33Qr,50,2017-05-17 06:02:52+00:00
