artist_id,artist_name,external_url
0TnOYISbd1XYRBk9myaseg,Pitbull,https://api.spotify.com/v1/artists/0TnOYISbd1XYRBk9myaseg
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,https://api.spotify.com/v1/artists/4nDoRrQiYLoBzwC5BhVJzF
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,https://api.spotify.com/v1/artists/46SHBwWsqBkxI7EeeBEQG7
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,https://api.spotify.com/v1/artists/2HPaUgqeutzr3jx5a9WyDV
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,https://api.spotify.com/v1/artists/5p7f24Rk5HkUZsaS3BLG5F
0EmeFodog0BfCgMzAIvKQp,Shakira,https://api.spotify.com/v1/artists/0EmeFodog0BfCgMzAIvKQp
3tVQdUvClmAT7URs9V3rsp,Wizkid,https://api.spotify.com/v1/artists/3tVQdUvClmAT7URs9V3rsp
77DAFfvm3O9zT5dIoG0eIO,Kyla,https://api.spotify.com/v1/artists/77DAFfvm3O9zT5dIoG0eIO
2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt,https://api.spotify.com/v1/artists/2kucQ9jQwuD8jWdtR9Ef38
4kYGAK2zu9EAomwj3hXkXy,JP Cooper,https://api.spotify.com/v1/artists/4kYGAK2zu9EAomwj3hXkXy
0eecdvMrqBftK0M1VKhaF4,CNCO,https://api.spotify.com/v1/artists/0eecdvMrqBftK0M1VKhaF4
0eHQ9o50hj6ZDNBt6Ys1sD,Yandel,https://api.spotify.com/v1/artists/0eHQ9o50hj6ZDNBt6Ys1sD
4ryoUS0W8qXokfMxrlJt6O,Skip Marley,https://api.spotify.com/v1/artists/4ryoUS0W8qXokfMxrlJt6O
0c173mlxpT3dSFRgMO8XPh,Big Sean,https://api.spotify.com/v1/artists/0c173mlxpT3dSFRgMO8XPh
13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,https://api.spotify.com/v1/artists/13y7CgLHjMVRMDqxdx0Xdo
540vIaP2JwjQb9dm3aArA4,DJ Snake,https://api.spotify.com/v1/artists/540vIaP2JwjQb9dm3aArA4
3e7awlrlDSwF3iM0WBjGMp,Little Mix,https://api.spotify.com/v1/artists/3e7awlrlDSwF3iM0WBjGMp
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,https://api.spotify.com/v1/artists/15UsOTVnJzReFVN1VCnxy4
2cFrymmkijnjDg9SS92EPM,blackbear,https://api.spotify.com/v1/artists/2cFrymmkijnjDg9SS92EPM
2LZDXcxJWgsJfKXZv9a5eG,Cashmere Cat,https://api.spotify.com/v1/artists/2LZDXcxJWgsJfKXZv9a5eG
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,https://api.spotify.com/v1/artists/5Pwc4xIPtQLFEnJriah9YJ
4lDBihdpMlOalxy1jkUbPl,Grey,https://api.spotify.com/v1/artists/4lDBihdpMlOalxy1jkUbPl
6s22t5Y3prQHyaHWUN1R1C,AJR,https://api.spotify.com/v1/artists/6s22t5Y3prQHyaHWUN1R1C
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,https://api.spotify.com/v1/artists/73sIBHcqh3Z3NyqHKZ7FOL
163tK9Wjr9P9DmM0AVK7lm,Lorde,https://api.spotify.com/v1/artists/163tK9Wjr9P9DmM0AVK7lm
2R21vXR83lH98kGeO99Y66,Anuel AA,https://api.spotify.com/v1/artists/2R21vXR83lH98kGeO99Y66
329e4yvIujISKGKz1BZZbO,Farruko,https://api.spotify.com/v1/artists/329e4yvIujISKGKz1BZZbO
4u5smJBskI6Adzv08PuiUP,Kiiara,https://api.spotify.com/v1/artists/4u5smJBskI6Adzv08PuiUP
1qskAseW7apRxJBpYAO9Yk,Felix Snow,https://api.spotify.com/v1/artists/1qskAseW7apRxJBpYAO9Yk
